,Rank,Cancer,New cases in 2020,% of all cancers
1,1.0,Lung,1435943,15.4
2,2.0,Prostate,1414259,15.1
3,3.0,Colorectal**,1065960,11.4
4,4.0,Stomach,719523,7.7
5,5.0,Liver,632320,6.8
6,6.0,Bladder,440864,4.7
7,7.0,Oesophagus,418350,4.5
8,8.0,Non-Hodgkin lymphoma,304151,3.3
9,9.0,Kidney,271249,2.9
10,10.0,Leukaemia,269503,2.9
11,11.0,"Lip, oral cavity",264211,2.8
12,12.0,Pancreas,262865,2.8
13,13.0,Melanoma of skin,173844,1.9
14,14.0,"Brain, central nervous system",168346,1.8
15,15.0,Larynx,160265,1.7
16,16.0,Thyroid,137287,1.5
17,17.0,Multiple melanoma,98613,1.1
18,18.0,Nasopharynx,96371,1.0
19,19.0,Oropharynx,79045,0.8
20,20.0,Testis,74458,0.8
21,21.0,Hypopharynx,70254,0.8
22,22.0,Hodgkin lymphoma,48981,0.5
23,23.0,Gallbladder,41062,0.4
24,24.0,Penis,36068,0.4
25,25.0,Salivary glands,29694,0.3
26,26.0,Kaposi sarcoma,23413,0.3
27,27.0,Mesothelioma,21560,0.2
