Beach,Date,Total_Coliforms,E_Coli,Enterococci,Sufficient,OBJECTID
Balbriggan,10/05/2010,27,18,2,n/r ,0
Balbriggan,11/05/2010,52,41,0,n/r ,1
Balbriggan,18/05/2010,18,9,1,n/r ,2
Balbriggan,25/05/2010,118,55,29,n/r ,3
Balbriggan,31/05/2010,210,82,1,n/r ,4
Balbriggan,08/06/2010,4200,2700,680,n/r ,5
Balbriggan,09/06/2010,2187,565,108,n/r ,6
Balbriggan,14/06/2010,73,18,31,n/r ,7
Balbriggan,21/06/2010,9,9,9,n/r ,8
Balbriggan,22/06/2010,10,10,2,n/r ,9
Balbriggan,28/06/2010,127,36,4,n/r ,10
Balbriggan,06/07/2010,200,73,13,n/r ,11
Balbriggan,07/07/2010,270,109,39,n/r ,12
Balbriggan,08/07/2010,10,10,0,n/r ,13
Balbriggan,13/07/2010,91,136,126,n/r ,14
Balbriggan,20/07/2010,740,500,200,n/r ,15
Balbriggan,21/07/2010,1259,420,85,n/r ,16
Balbriggan,26/07/2010,9,9,1,n/r ,17
Balbriggan,03/08/2010,27,18,7,n/r ,18
Balbriggan,05/08/2010,52,20,1,n/r ,19
Balbriggan,09/08/2010,145,55,53,n/r ,20
Balbriggan,16/08/2010,36,9,1,n/r ,21
Balbriggan,18/08/2010,934,441,34,n/r ,22
Balbriggan,23/08/2010,240,73,26,n/r ,23
Balbriggan,30/08/2010,340,127,3,n/r ,24
Balbriggan,08/09/2010,481,52,6,n/r ,25
Balbriggan,13/09/2010,2500,550,27,n/r ,26
Balbriggan,30/05/2012,,74,55,n/r,27
Balbriggan,13/06/2012,,96,45,n/r,28
Balbriggan,18/06/2012,,31,4,n/r,29
Balbriggan,02/07/2012,,109,41,n/r,30
Balbriggan,17/07/2012,,41,6,n/r,31
Balbriggan,31/07/2012,,31,1,n/r,32
Balbriggan,14/08/2012,,98,11,n/r,33
Balbriggan,28/08/2012,,10462,1310,n/r,34
Balbriggan,22/05/2013,,63,9,n/r,35
Balbriggan,26/05/2013,,52,2,n/r,36
Balbriggan,04/06/2013,,63,7,n/r,37
Balbriggan,19/06/2013,,109,113,n/r,38
Balbriggan,02/07/2013,,10,1,n/r,39
Balbriggan,17/07/2013,,73,17,n/r,40
Balbriggan,06/08/2013,,20,8,n/r,41
Balbriggan,19/08/2013,,201,22,n/r,42
Balbriggan,03/09/2013,,41,11,n/r,43
Balbriggan,10/06/2014,,10,1,n/r,44
Balbriggan,24/06/2014,,30,17,n/r,45
Balbriggan,08/07/2014,,31,6,n/r,46
Balbriggan,22/07/2014,,110,13,n/r,47
Balbriggan,28/07/2014,,171,23,n/r,48
Balbriggan,05/08/2014,,4884,2000,n/r,49
Balbriggan,07/08/2014,,201,23,n/r,50
Balbriggan,12/08/2014,,109,15,n/r,51
Balbriggan,19/08/2014,,203,30,n/r,52
Balbriggan,25/08/2014,,450,58,n/r,53
Balbriggan,08/09/2014,,187,37,n/r,54
Balbriggan,26/05/2015,,41,13,n/r,55
Balbriggan,02/06/2015,,109,5,n/r,56
Balbriggan,15/06/2015,,10,1,n/r,57
Balbriggan,29/06/2015,,10,1,n/r,58
Balbriggan,08/07/2015,,75,25,n/r,59
Balbriggan,13/07/2015,,10,5,n/r,60
Balbriggan,27/07/2015,,216,110,n/r,61
Balbriggan,10/08/2015,,10,6,n/r,62
Balbriggan,24/08/2015,,959,280,n/r,63
Balbriggan,07/09/2015,,146,49,n/r,64
Balbriggan,31/05/2016,,441,41,Good,65
Balbriggan,07/06/2016,,10,1,Excellent,66
Balbriggan,14/06/2016,,10,1,Excellent,67
Balbriggan,20/06/2016,,52,9,Excellent,68
Balbriggan,28/06/2016,,275,15,Good,69
Balbriggan,04/07/2016,,10,4,Excellent,70
Balbriggan,18/07/2016,,31,5,Excellent,71
Balbriggan,02/08/2016,,175,25,Excellent,72
Balbriggan,15/08/2016,,41,15,Excellent,73
Balbriggan,29/08/2016,,20,4,Excellent,74
Balbriggan,12/09/2016,,173,17,Excellent,75
Balbriggan,22/05/2017,,31,4,Excellent,76
Balbriggan,06/06/2017,,10,17,Excellent,77
Balbriggan,19/06/2017,,134,34,Excellent,78
Balbriggan,03/07/2017,,30,10,Excellent,79
Balbriggan,18/07/2017,,31,52,Excellent,80
Donabate,10/05/2010,73,9,6,n/r,81
Donabate,11/05/2010,73,30,0,n/r,82
Donabate,18/05/2010,27,9,9,n/r,83
Donabate,25/05/2010,27,9,11,n/r,84
Donabate,31/05/2010,9,9,1,n/r,85
Donabate,08/06/2010,2600,520,110,n/r,86
Donabate,09/06/2010,2014,602,20,n/r,87
Donabate,14/06/2010,64,18,11,n/r,88
Donabate,21/06/2010,9,9,1,n/r,89
Donabate,22/06/2010,31,20,11,n/r,90
Donabate,29/06/2010,9,9,1,n/r,91
Donabate,06/07/2010,9,9,1,n/r,92
Donabate,07/07/2010,9,6,96,n/r,93
Donabate,08/07/2010,10,10,0,n/r,94
Donabate,13/07/2010,55,45,46,n/r,95
Donabate,20/07/2010,27,9,5,n/r,96
Donabate,21/07/2010,63,10,6,n/r,97
Donabate,26/07/2010,27,9,7,n/r,98
Donabate,03/08/2010,173,109,43,n/r,99
Donabate,05/08/2010,10,10,4,n/r,100
Donabate,09/08/2010,82,45,92,n/r,101
Donabate,16/08/2010,18,9,15,n/r,102
Donabate,18/08/2010,20,10,25,n/r,103
Donabate,23/08/2010,2800,2000,128,n/r,104
Donabate,30/08/2010,36,9,1,n/r,105
Donabate,08/09/2010,1529,457,580,n/r,106
Donabate,13/09/2010,118,18,23,n/r,107
Donabate,30/05/2012,,10,3,n/r,108
Donabate,13/06/2012,,10,5,n/r,109
Donabate,18/06/2012,,10,5,n/r,110
Donabate,02/07/2012,,20,4,n/r,111
Donabate,17/07/2012,,121,21,n/r,112
Donabate,31/07/2012,,10,3,n/r,113
Donabate,14/08/2012,,41,8,n/r,114
Donabate,28/08/2012,,31,20,n/r,115
Donabate,22/05/2013,,10,1,n/r,116
