 Cancers in FeMale
 ___________________________________________

    Index  Rank                         Cancer  New cases in 2020  % of all cancers
0     NaN  Rank                         Cancer  New cases in 2020  % of all cancers
1     1.0   1.0                         Breast            2261419              12.5
2     2.0   2.0                           Lung            2206771              12.2
3     3.0   3.0                   Colorectal**            1931590              10.7
4     4.0   4.0                       Prostate            1414259               7.8
5     5.0   5.0                        Stomach            1089103               6.0
6     6.0   6.0                          Liver             905677               5.0
7     7.0   7.0                   Cervix uteri             604127               3.3
8     8.0   8.0                     Oesophagus             604100               3.3
9     9.0   9.0                        Thyroid             586202               3.2
10   10.0  10.0                        Bladder             573278               3.2
11   11.0  11.0           Non-Hodgkin lymphoma             544352               3.0
12   12.0  12.0                       Pancreas             495773               2.7
13   13.0  13.0                      Leukaemia             474519               2.6
14   14.0  14.0                         Kidney             431288               2.4
15   15.0  15.0                   Corpus uteri             417367               2.3
16   16.0  16.0               Lip, oral cavity             377713               2.1
17   17.0  17.0               Melanoma of skin             324635               1.8
18   18.0  18.0                          Ovary             313959               1.7
19   19.0  19.0  Brain, central nervous system             308102               1.7
20   20.0  20.0                         Larynx             184615               1.0
21   21.0  21.0               Multiple myeloma             176404               1.0
22   22.0  22.0                    Nasopharynx             133354               0.7
23   23.0  23.0                    Gallbladder             115949               0.6
24   24.0  24.0                     Oropharynx              98412               0.5
25   25.0  25.0                    Hypopharynx              84254               0.5
26   26.0  26.0               Hodgkin lymphoma              83087               0.5
27   27.0  27.0                         Testis              74458               0.4
28   28.0  28.0                Salivary glands              53583               0.3
29   29.0  29.0                          Vulva              45240               0.3
30   30.0  30.0                          Penis              36068               0.2
31   31.0  31.0                 Kaposi sarcoma              34270               0.2
32   32.0  32.0                   Mesothelioma              30870               0.2
33   33.0  33.0                         Vagina              17908               0.1
____________________________________________
